epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7252,3.4474,5.44721,1.98847,0.1719,0.0733,0.0086,0.00275,3.10037,3.99478,1.89607,0.000301665,0.000301665,0.000301665
2,83.7678,3.06419,3.56499,1.70596,0.04768,0.06063,0.02942,0.00906,2.97722,4.35092,1.76314,0.000564757,0.000564757,0.000564757
3,121.406,2.95457,3.35457,1.64176,0.71117,0.03704,0.03387,0.01062,2.88583,3.92176,1.6872,0.000787853,0.000787853,0.000787853
4,158.25,2.88801,3.21023,1.62443,0.09391,0.06556,0.04108,0.01024,3.053,3.48378,1.7695,0.000729018,0.000729018,0.000729018
5,193.714,2.80153,2.99379,1.57527,0.14839,0.12486,0.09595,0.0315,2.7434,2.8807,1.64911,0.000669024,0.000669024,0.000669024
6,229.238,2.716,2.9013,1.69051,0.23451,0.18764,0.12286,0.04435,2.65169,2.71976,1.6227,0.00060903,0.00060903,0.00060903
7,262.473,2.62713,2.74858,1.63723,0.20374,0.11727,0.11338,0.04008,2.64752,2.74283,1.61189,0.000549036,0.000549036,0.000549036
8,296.316,2.52036,2.59155,1.60815,0.19733,0.20237,0.14664,0.05296,2.65564,2.6078,1.63697,0.000489042,0.000489042,0.000489042
9,329.559,2.51571,2.50609,1.58554,0.24311,0.21358,0.16817,0.06023,2.59283,2.43548,1.59437,0.000429048,0.000429048,0.000429048
10,363.38,2.40991,2.29575,1.54702,0.36525,0.17585,0.1855,0.06738,2.58716,2.48483,1.57223,0.000369054,0.000369054,0.000369054
11,396.222,2.35787,2.14252,1.50933,0.28254,0.23497,0.18996,0.06702,2.55385,2.32802,1.58609,0.00030906,0.00030906,0.00030906
12,430.007,2.30799,2.05695,1.49397,0.26266,0.18969,0.19333,0.06188,2.5835,2.31708,1.58968,0.000249066,0.000249066,0.000249066
13,462.877,2.22952,1.94284,1.45706,0.271,0.23382,0.19579,0.07019,2.60255,2.2715,1.59327,0.000189072,0.000189072,0.000189072
14,496.613,2.14567,1.84366,1.42529,0.29641,0.22852,0.19811,0.06915,2.55806,2.26979,1.57602,0.000129078,0.000129078,0.000129078
15,529.286,2.06332,1.72811,1.38508,0.33258,0.23502,0.2044,0.07099,2.63886,2.25357,1.6043,6.9084e-05,6.9084e-05,6.9084e-05
